Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41045061,The Mind Is Flat: The Remarkable Shallowness of the Improvising Brain,Nick Chater,"Chater, Nick",,"=""0300240619""","=""9780300240610""",0,Yale University Press,Kindle Edition,274,2018,,,2026/04/13,currently-reading,currently-reading (#20),currently-reading,,,,1,0
249620621,How to Slay a Wizard,Owen Benjamin,"Benjamin, Owen",,"=""""","=""""",5,Castalia House,Kindle Edition,185,2026,,2026/04/13,2026/03/17,,,read,,,,1,0
245172054,Wisdom Untethered: The Time for Questions,Michael A. Singer,"Singer, Michael A.",,"=""""","=""9798900220369""",0,New Harbinger Publications,Kindle Edition,,2026,2026,,2026/03/27,currently-reading,currently-reading (#19),currently-reading,,,,1,0
224458629,"Chess Made Simple: A Beginner's Guide to Learn Rules, Develop Strategies, Master Tactics, Visualize Moves, and Build Confidence to Win More Games!",Alexander Knight,"Knight, Alexander",,"=""""","=""""",0,VB Creative Publishing,Kindle Edition,188,2025,,,2026/03/15,currently-reading,currently-reading (#18),currently-reading,,,,1,0
35881748,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",,"=""1101946601""","=""9781101946602""",0,Vintage,Kindle Edition,364,2017,2017,,2026/02/01,currently-reading,currently-reading (#17),currently-reading,,,,1,0
61149872,The Inmate,Freida McFadden,"McFadden, Freida",,"=""""","=""""",3,Hollywood Upstairs Press ,Kindle Edition,388,2022,2022,2026/01/25,2026/01/17,,,read,,,,1,0
36215712,The Word is Murder (Hawthorne & Horowitz #1),Anthony Horowitz,"Horowitz, Anthony",,"=""0062676814""","=""9780062676818""",3,Harper,Kindle Edition,271,2018,2017,2026/01/17,2026/01/04,,,read,,,,1,0
20423680,"The Last Town (Wayward Pines, #3)",Blake Crouch,"Crouch, Blake",,"=""1477872582""","=""9781477872581""",3,Thomas & Mercer,Kindle Edition,294,2014,2014,2026/01/06,2026/01/06,,,read,,,,1,0
209329769,Somatic Exercises For Nervous System Regulation: 35 Beginner – Intermediate Techniques To Reduce Anxiety & Tone Your Vagus Nerve In Under 10 Minutes A Day (Anxiety Relief),LearnWell Books,"Books, LearnWell",,"=""1922922536""","=""9781922922533""",4,LearnWell Books,Kindle Edition,146,2024,,2026/01/06,2024/08/04,,,read,,,,1,0
232294916,You Can Just Do Things: The Power of Permissionless Action,Jay Yang,"Yang, Jay",,"=""""","=""9798992459241""",3,,Kindle Edition,148,2025,,2026/01/06,2025/11/30,,,read,,,,1,0
